"Failure is not an option. Everyone has to succeed.";"Arnold Schwarzenegger"
"Start wide, expand further, and never look back.";"Arnold Schwarzenegger"
"I never listened to anyone who said I can’t do something.";"Arnold Schwarzenegger"
"There are no shortcuts—everything is reps, reps, reps.";"Arnold Schwarzenegger"
"Not every legend is a myth, some are flesh and blood. Some legends walk among us, but they aren’t born, they’re built. Legends are made from iron & sweat, mind and muscle, blood and vision and victory. Legends are champions, they grow, they win, they conquer.";"Arnold Schwarzenegger"
"If something stands between you and your success, move it. Never be denied.";"Dwayne Johnson"
"Don’t be afraid of failure. This is the way to succeed.";"LeBron James"
"I’ve failed over and over again in my life. And that is why I succeed.";"Michael Jordan"
"Never say never because limits, like fears, are often just an illusion.";"Michael Jordan"
"Without self-discipline, success is impossible, period.";"Lou Holtz"
"I’d like to thank everyone who voted for me. And the one guy who didn’t vote for me, thank you, too.";"Shaquille O’Neal"
"He who is not courageous enough to take risks will accomplish nothing in life.";"Muhammad Ali"
"Winning isn’t everything, but wanting to win is.";"Vince Lombardi"
"Winners never quit and quitters never win.";"Vince Lombardi"
"I never worry about the problem. I worry about the solution.";"Shaquille O’Neal"
